kanji,hiragana,korean
富豪,ふごう,부호
貧富,ひんぷ,빈부
交付,こうふ,교부
添付,てんぷ,첨부
克服,こくふく,극복
軍服,ぐんぷく,군복
他方,たほう,"다른 방향"
遠方,えんぽう,"먼 곳"
決算,けっさん,결산
決断,けつだん,결단
結束,けっそく,결속
結合,けつごう,결합
錯覚,さっかく,착각
錯誤,さくご,착오
実践,じっせん,실천
実情,じつじょう,실정
出費,しゅっぴ,"지출, 출비"
出現,しゅつげん,출현
接触,せっしょく,접촉
接続,せつぞく,접속
設置,せっち,설치
設立,せつりつ,설립
鉄鋼,てっこう,"철강, 강철"
鉄棒,てつぼう,철봉
特権,とっけん,특권
特産,とくさん,특산
熱湯,ねっとう,열탕
熱意,ねつい,열의
必修,ひっしゅう,필수
必然,ひつぜん,필연
密集,みっしゅう,밀집
密度,みつど,밀도
婉曲だ,えんきょくだ,완곡하다
画一的だ,かくいつてきだ,획일적이다
肝心だ,かんじんだ,중요하다
寛容だ,かんようだ,관용하다
華奢だ,きゃしゃだ,날씬하다
窮屈だ,きゅうくつだ,갑갑하다
顕著だ,けんちょだ,현저하다
厳正だ,げんせいだ,엄정하다
高尚だ,こうしょうだ,고상하다
巧妙だ,こうみょうだ,교묘하다
豪快だ,ごうかいだ,호쾌하다
克明だ,こくめいだ,극명하다
滑稽だ,こっけいだ,우스꽝스럽다
柔軟だ,じゅうなんだ,유연하다
迅速だ,じんそくだ,신속하다
精巧だ,せいこうだ,정교하다
素朴だ,そぼくだ,소박하다
著名だ,ちょめいだ,저명하다
薄弱だ,はくじゃくだ,박약하다
漠然だ,ばくぜんだ,막연하다
不振だ,ふしんだ,부진하다
無難だ,ぶなんだ,무난하다
無礼だ,ぶれいだ,무례하다
膨大だ,ぼうだいだ,방대하다
無口だ,むくちだ,"말이 없다"
明白だ,めいはくだ,명백하다
猛烈だ,もうれつだ,맹렬하다
勇敢だ,ゆうかんだ,용감하다
間柄,あいだがら,"사람 사이, 관계"
有様,ありさま,"모양, 상태"
家出,いえで,가출
憤り,いきどおり,"분개, 분노"
憩い,いこい,휴식
偽り,いつわり,"거짓, 인위"
内訳,うちわけ,내역
腕前,うでまえ,"솜씨, 역량"
獲物,えもの,"사냥감, 전리품"
大筋,おおすじ,"줄거리, 요점"
片言,かたこと,"서투른 말씨"
傍ら,かたわら,"곁, 옆"
構え,かまえ,"구조, 태세"
兆し,きざし,"징조, 조짐"
首輪,くびわ,목걸이
心得,こころえ,"마음가짐, 소양"
事柄,ことがら,"만사, 일"
寒気,さむけ,"한기, 오한"
下心,したごころ,"속마음, 음모"
下火,したび,"한고비 지남"
建前,たてまえ,"표면, 인사치레"
溜り,たまり,"굄, 대기실"
弛み,たるみ,"느슨함, 해이"
手数,てすう,수단
手際,てぎわ,솜씨
手元,てもと,수중
年頃,としごろ,"나이, 적령기"
鳥居,とりい,"신사의 기둥문"
中程,なかほど,"중간, 절반"
西日,にしび,"석양, 저녁 해"
音色,ねいろ,음색
初耳,はつみみ,"처음 듣는 일"
浜辺,はまべ,해변
人影,ひとかげ,"사람 그림자"
一筋,ひとすじ,외골수
人目,ひとめ,"남의 눈"
真心,まごころ,진심
真ん前,まんまえ,"직전, 바로 앞"
巡り,めぐり,"순회, 순환"
枠,わく,틀
詫び,わび,"사죄, 사과"
割当,わりあて,"할당, 분담"
赤字,あかじ,적자
当て字,あてじ,취음자
跡地,あとち,철거지
油絵,あぶらえ,유화
縁側,えんがわ,툇마루
株式,かぶしき,주식
心地,ここち,"기분, 마음"
指図,さしず,"지시, 지휘"
桟橋,さんばし,부두
仕組,しくみ,"구조, 짜임"
下地,したじ,"밑바탕, 소질"
地元,じもと,연고지
相場,そうば,시세
手錠,てじょう,수갑
手本,てほん,"본보기, 모범"
控室,ひかえしつ,대기실
人気,にんき,인기척
人質,ひとじち,인질
本筋,ほんすじ,본론
本音,ほんね,속마음
本場,ほんば,본고장
水気,みずけ,"수분, 물기"
喪服,もふく,상복
役場,やくば,"관공서, 사무소"
