kanji,hiragana,korean
あくどい,あくどい,악랄하다
潔い,いさぎよい,깨끗하다
おびただしい,おびただしい,엄청나다
きまりわるい,きまりわるい,"면목이 안 서다"
しぶとい,しぶとい,끈질기다
素早い,すばやい,재빠르다
耐えがたい,耐えがたい,"참기 어렵다"
たやすい,たやすい,쉽다
馴れ馴れしい,なれなれしい,스스럼없다
はなはだしい,はなはだしい,"심하다, 대단하다"
ほほえましい,ほほえましい,흐뭇하다
みすぼらしい,みすぼらしい,초라하다
満たない,みたない,"차지 않다"
目覚ましい,めざましい,눈부시다
安静だ,あんせいだ,안정되다
一様だ,いちようだ,똑같다
一律だ,いちりつだ,일률적이다
裏腹だ,うらはらだ,정반대이다
円滑だ,えんかつだ,원활하다
円満だ,えんまんだ,원만하다
おおげさだ,おおげさだ,과장되다
温和だ,おんわだ,온화하다
過密だ,かみつだ,과밀하다
簡易だ,かんいだ,간단하다
簡潔だ,かんけつだ,간결하다
頑丈だ,がんじょうだ,튼튼하다
閑静だ,かんせいだ,한적하다
簡素だ,かんそだ,간소하다
強烈だ,きょうれつだ,강렬하다
緊密だ,きんみつだ,긴밀하다
軽快だ,けいかいだ,경쾌하다
軽率だ,けいそつだ,경솔하다
健在だ,けんざいだ,건재하다
健全だ,けんぜんだ,건전하다
広大だ,こうだいだ,광대하다
細心だ,さいしんだ,세심하다
残酷だ,ざんこくだ,잔혹하다
自在だ,じざいだ,"자유자재이다, 마음대로이다"
質素だ,しっそだ,검소하다
しなやかだ,しなやかだ,유연하다
誠実だ,誠実だ,성실하다
正当だ,せいとうだ,정당하다
精密だ,せいみつだ,정밀하다
切実だ,せつじつだ,절실하다
怠慢だ,たいまんだ,태만하다
巧みだ,たくみだ,"솜씨 좋다, 교묘하다"
単調だ,たんちょうだ,단조롭다
のどかだ,のどかだ,"한가롭다, 화창하다"
煩雑だ,はんざつだ,번잡하다
半端だ,はんぱだ,어중간하다
ひたむきだ,ひたむきだ,"한 가지에만 전력을 다하다"
不審だ,ふしんだ,의심스럽다
ふんだんだ,ふんだんだ,충분하다
まちまちだ,まちまちだ,가지각색이다
未開だ,みかいだ,미개하다
無造作だ,むぞうさだ,"아무렇게나 하나"
無念だ,むねんだ,"분하다, 원통하다"
無能だ,むのうだ,무능하다
無闇だ,むやみだ,"터무니없다, 함부로 하다"
明朗だ,めいろうだ,"명랑하다, 공정하다"
有数だ,ゆうすうだ,유수하다
優勢だ,ゆうせいだ,"우세하다, 우위이다"
冷酷だ,れいこくだ,냉혹하다
冷淡だ,れいたんだ,냉담하다
露骨だ,ろこつだ,노골적이다
いかにも,いかにも,정말로
依然として,いぜんとして,여전히
一概に,いちがいに,일괄적으로
一挙に,いっきょに,일거에
いっそ,いっそ,차라리
今更,いまさら,"이제 와서"
いやに,いやに,"이상하게, 묘하게"
遅くとも,おそくとも,늦어도
おどおど,おどおど,주저주저
くまなく,くまなく,구석구석
煌々と,こうこうと,반짝반짝
さぞ,さぞ,필시
さほど,さほど,그다지
さも,さも,자못
終始,しゅうし,시종
実に,じつに,"실로, 참으로"
ずばり,ずばり,거침없이
総じて,そうじて,대체로
てんで,てんで,전혀
到底,とうてい,도저히
どうやら,どうやら,아무래도
とかく,とかく,이것저것
とっくに,とっくに,"훨씬 이전에"
とっさに,とっさに,순간적으로
なおさら,なおさら,"한층 더"
何だか,なんだか,어쩐지
何なりと,なんなりと,무엇이든
甚だ,はなはだ,"몹시, 매우"
人一倍,ひといちばい,"남보다 갑절"
ひとまず,ひとまず,일단
めきめき,めきめき,무럭무럭
もはや,もはや,"이제는, 어느새"
もろに,もろに,정면으로
やけに,やけに,"무척, 유난히"
余程,よほど,"상당히, 꽤"
