kanji,hiragana,korean
潤う,うるおう,축축해지다
襲う,おそう,덮치다
庇う,かばう,"감싸다, 비호하다"
慕う,したう,연모하다
漂う,ただよう,"감돌다, 표류하다"
繕う,つくろう,"고치다, 수선하다"
担う,になう,짊어지다
賄う,まかなう,"공급하다, 조달하다"
怯える,おびえる,무서워하다
栄える,さかえる,번영하다
蓄える,たくわえる,"대비하다, 저장ㅎ다ㅏ"
仕える,つかえる,"시중들다, 봉사하다"
唱える,となえる,"외치다, 소리치다"
映える,はえる,"빛나다, 돋보이다"
欺く,あざむく,"속이다, 깔보다"
赴く,おもむく,향하다
裁く,さばく,심판하다
背く,そむく,등지다
呟く,つぶやく,중얼거리다
貫く,つらぬく,"관통하다, 꿰뚫다"
仰ぐ,あおぐ,우러러보다
凌ぐ,しのぐ,"참고 견디다"
接ぐ,つぐ,접목하다
剥ぐ,はぐ,"벗기다, 박탈하다"
砕ける,くだける,"부서지다, 깨지다"
賭ける,かける,"걸다, 내기를 하다"
促す,うながす,재촉하다
潤す,うるおす,적시다
侵す,おかす,침범하다
覆す,くつがえす,뒤집다
壊す,こわす,부수다
託す,たくす,위탁하다
施す,ほどこす,베풀다
催す,もよおす,개최하다
値する,あたいする,"가치가 있다, 상당하다"
踏襲する,とうしゅうする,답습하다
帯びる,おびる,"머금다, 띠다"
綻びる,ほころびる,"풀리다, 터지다"
顧みる,かえりみる,돌이켜보다
滲みる,しみる,"스며들다, 베다"
戒める,いましめる,"훈계하다, 제지하다"
極める,きわめる,"다하다, 다다르다"
締める,しめる,"죄다, 조르다"
揉める,もめる,옥신각신하다
肥やす,こやす,살찌우다
費やす,ついやす,"소비하다, 쓰다"
凝らす,こらす,"한곳에 집중시키다, 엉기게 하다"
逸らす,そらす,"딴 데로 돌리다, 피하다"
怠る,おこたる,"게으름 피우다, 태만하다"
偏る,かたよる,치우치다
遮る,さえぎる,"차단하다, 방해하다"
障る,さわる,"방해되다, 지장이 있다"
奉る,たてまつる,"바치다, 드리다"
辿る,たどる,"더듬어가다, (줄거리를) 더듬다"
賜る,たまわる,"(윗사람에게) 받다, 내려 주시다"
募る,つのる,"격화하다, 모으다"
滞る,とどこおる,"막히다, 정체하다"
詰る,なじる,"따지다, 힐책하다"
鈍る,にぶる,둔해지다
錬る,ねる,"(계획을) 다듬다, (실을) 누이다"
粘る,ねばる,달라붙다
罵る,ののしる,매도하다
諮る,はかる,"의견을 묻다, 상의하다"
耽る,ふける,"열중하다, 골몰하다"
葬る,ほうむる,매장하다
蘇る,よみがえる,되살아나다
廃れる,すたれる,쇠퇴하다
擦れる,すれる,"스치다, 닿다"
捩れる,ねじれる,비틀어지다
逃れる,のがれる,"달아나다, 피하다"
腫れる,はれる,붓다
免れる,まぬかれる,"모면하다, 피하다"
挑む,いどむ,도전하다
否む,いなむ,거절하다
霞む,かすむ,희미해지다
拒む,こばむ,거절하다
臨む,のぞむ,임하다
励む,はげむ,힘쓰다
阻む,はばむ,"방해하다, 저지하다"
緩む,ゆるむ,"풀어지다, 느슨해지다"
淡い,あわい,연하다
潔い,いさぎよい,깨끗하다
賢い,かしこい,현명하다
心強い,こころずよい,든든하다
快い,こころよい,"호의적이다, 상쾌하다"
渋い,しぶい,떫다
狡い,ずるい,교활하다
怠い,だるい,나른하다
尊い,とうとい,소중하다
名高い,なだかい,유명하다
生臭い,なまぐさい,"비린내 나다"
儚い,はかない,덧없다
醜い,みにくい,"추하다, 흉하다"
脆い,もろい,"무르다, 여리다"
著しい,いちじるしい,현저하다
卑しい,いやしい,천하다
鬱陶しい,うっとうしい,음울하다
仰々しい,ぎょうぎょうしい,과장되다
険しい,けわしい,험하다
清々しい,すがすがしい,상쾌하다
騒々しい,そうぞうしい,시끌벅적하다
逞しい,たくましい,늠름하다
乏しい,とぼしい,부족하다
馬鹿馬鹿しい,ばかばかしい,어처구니없다
華々しい,はなばなしい,화려하다
久しい,ひさしい,오래되다
相応しい,ふさわしい,어울리다
空しい,むなしい,허무하다
煙たい,けむたい,"(연기가) 맵다"
平たい,ひらたい,평평하다
勇ましい,いさましい,용감하다
羨ましい,うらやましい,부럽다
好ましい,このましい,"호감이다, 바람직하다"
望ましい,のぞましい,바람직하다
崩れやすい,くずれやすい,"부서지기 쉽다"
割れやすい,われやすい,"깨지기 쉽다"
心地よい,ここちよい,상쾌하다
見目よい,みめよい,잘생기다
厳かだ,おごそかだ,엄숙하다
愚かだ,おろかだ,어리석다
疎かだ,おろそかだ,소홀하다
微かだ,かすかだ,희미하다
遥かだ,はるかだ,아득하다
密かだ,ひそかだ,은밀하다
粋だ,いきだ,멋있다
大柄だ,おおがらだ,"(몸집이) 크다"
月並だ,つきだみだ,평범하다
手薄だ,てうすだ,허술하다
手軽だ,てがるだ,간편하다
手頃だ,てごろだ,적당하다
手近だ,てじかだ,"가깝다, 흔하다"
稀だ,まれだ,드물다
身近だ,みじかだ,일상적이다
欲深だ,よくふかだ,"욕심이 많다"
鮮やかだ,あざやかだ,선명하다
穏やかだ,おだやかだ,온화하다
細やかだ,こまやかだ,상세하다
淑やかだ,しとやかだ,정숙하다
健やかだ,すこやかだ,건강하다
和やかだ,なごやかだ,부드럽다
華やかだ,はなやかだ,화려하다
緩やかだ,ゆるやかだ,완만하다
清らかだ,きよらかだ,깨끗하다
滑らかだ,なめらかだ,매끄럽다
